Model,Horizon,RMSE,MAE,Coverage_95pct,Coverage_Deviation,CRPS,DM_test_vs_AR2
MS-AR(2),1,0.0601,0.0448,91.4%,-3.6%,0.0324,p = 0.003
MS-AR(2),2,0.0621,0.0455,92.2%,-2.8%,0.0335,p = 0.005
MS-AR(2),4,0.0656,0.0469,91.4%,-3.6%,0.0349,p = 0.009
MS-AR(2),8,0.0721,0.0534,90.5%,-4.5%,0.0388,p = 0.011
AR(2) Baseline,1,0.0745,0.0617,94.8%,-0.2%,0.0413,Reference
AR(2) Baseline,4,0.0856,0.0723,94.8%,-0.2%,0.0484,Reference
AR(2) Baseline,8,0.0961,0.081,94.0%,-1.0%,0.0542,Reference
SARIMA,4,0.0667,0.0518,94.0%,-1.0%,0.0368,p = 0.131
Prophet,4,0.0709,0.0436,90.5%,-4.5%,0.0361,p = 0.218
LSTM*,4,0.0585,0.0389,91.4%†,-3.6%,0.0312,p = 0.184
Seasonal Naïve,4,0.0823,0.0648,84.5%,-10.5%,0.0453,p = 0.201
