Model,Horizon_wks,RMSE,MAE,PI_coverage_pct,Coverage_deviation_pct,CRPS,DM_p_vs_AR2
MS-AR(2),1,0.0601,0.0448,91.4,-3.6,0.0324,0.003
MS-AR(2),2,0.0621,0.0455,92.2,-2.8,0.0335,0.005
MS-AR(2),4,0.0656,0.0469,91.4,-3.6,0.0349,0.009
MS-AR(2),8,0.0721,0.0534,90.5,-4.5,0.0388,0.011
AR(2) Baseline,1,0.0745,0.0617,94.8,-0.2,0.0413,
AR(2) Baseline,4,0.0856,0.0723,94.8,-0.2,0.0484,
AR(2) Baseline,8,0.0961,0.081,94.0,-1.0,0.0542,
SARIMA,4,0.0667,0.0518,94.0,-1.0,0.0368,0.131
Prophet,4,0.0709,0.0436,90.5,-4.5,0.0361,0.218
LSTM (bootstrap PI B=200),4,0.0585,0.0389,91.4,-3.6,0.0312,0.184
Seasonal Naive,4,0.0823,0.0648,84.5,-10.5,0.0453,0.201
